date,title,category,entities_name,formatted_address,longitude,latitude,beat
1/4/2021,Timothy Israel,concerts,null,null,-84.387985,33.748997,511
1/4/2021,Moderate to Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
1/4/2021,Significant Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
1/4/2021,Crab Legs & Comedy  Show w/  HerShe The Entertainer & Mr. Inappropriate,performing-arts,null,null,-84.401384,33.65517,313
1/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
2/4/2021,Donald Runnicles conducts Wagner with the ASO,performing-arts,Atlanta Symphony Hall,"1280 Peachtree Street Northeast Atlanta, GA 30309 United States of America",-84.384885,33.78956,502
2/4/2021,Eric Hinton and Troy Rushing,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
2/4/2021,Significant to Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
2/4/2021,"WeightBall's Eat Drink & Laugh, w Free Wine Tasting /St. Louis Edition",performing-arts,null,null,-84.401384,33.65517,313
2/4/2021,Eat Drink Laugh Comedy Show,performing-arts,null,null,-84.40143,33.655157,313
3/4/2021,Elio Stereo,concerts,Veranda,"1140 Crescent Ave NE Atlanta, GA 30309 United States of America",-84.38452,33.78588,502
3/4/2021,Mikey Jay RR$,concerts,249 Trinity Ave SW,"249 Trinity Avenue Southwest Atlanta, GA 30303 United States of America",-84.396048,33.750794,507
3/4/2021,Elio Stereo,concerts,Forza Storico,"1198 Howell Mill Rd #020 Atlanta, GA 30318 United States of America",-84.41222,33.78677,207
3/4/2021,Easter Band & Brunch,concerts,null,null,-84.37731,33.72548,605
3/4/2021,Joe Gauthreaux,concerts,The Heretic,"2069 Cheshire Bridge Rd Atlanta, GA 30324 United States of America",-84.35364,33.81167,212
3/4/2021,Caleb Lee Hutchinson,community,Eddie's Attic,"515 North McDonough Street Decatur, GA 30030 United States of America",-84.296272,33.773975,608
3/4/2021,The Escape From Reality Tour II.,concerts,Pregame Bar and Grill,"899 Martin Luther King Junior Drive Southwest Atlanta, GA 30314 United States of America",-84.417038,33.754986,102
3/4/2021,POSTPONED Rodney Crowell - 4/2/21 - (Rescheduled from 6/21/20),concerts,City Winery,"201 650 North Avenue Northeast Atlanta, GA 30308 United States of America",-84.367436,33.771957,603
3/4/2021,Tipsy Tagging,festivals,null,null,-84.421793,33.731483,401
3/4/2021,EMPIRE STATE OF MIND  WOMEN'S 2021 CONFERENCE- SISTERS BUILDING EMPIRES,conferences,SpringHill Suites by Marriott Atlanta Buckhead,"3459 Buckhead Loop Northeast Atlanta, GA 30326 United States of America",-84.372949,33.849088,208
3/4/2021,Nelson Brownstone,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
3/4/2021,Je'Cori Neal's By A Thread,performing-arts,null,null,-84.444444,33.678333,50
3/4/2021,Severe Delays - Fulton County Airport (FTY),airport-delays,Fulton County Airport-Brown Field,"3952 Aviation Circle Northwest Atlanta, GA 30336 United States of America",-84.521645,33.777091,114
3/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
3/4/2021,Moderate to Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
3/4/2021,Sunsquabi,concerts,Coca-Cola Roxy Theater,"Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.471544,33.887363,201
4/4/2021,Geoff Scott Band,community,Black Bear Tavern,"1931 Peachtree Road Northeast Atlanta, GA 30309 United States of America",-84.393445,33.807506,205
4/4/2021,Hami and Autokorekt,concerts,Believe Music Hall,"181 Ralph David Abernathy Blvd Atlanta, GA 30312 United States of America",-84.393715,33.737039,303
4/4/2021,ARTIST SHOWCASE,festivals,null,null,-84.417033,33.754971,102
4/4/2021,808s & Meditate: The Immersion,concerts,The Movement Lab ~ Home of T. Lang Dance,"1384 Ralph David Abernathy Blvd Atlanta, GA 30310 United States of America",-84.43401,33.739011,404
4/4/2021,Arulu,concerts,Club Ozone,"Atlanta, GA United States of America",-84.403198,33.759499,102
4/4/2021,#FOLLOWME: Future Riddims Sound Clash Edition,concerts,555 Whitehall St SW,"555 Whitehall Street Southwest Atlanta, GA 30303 United States of America",-84.406184,33.743048,101
4/4/2021,Ultimate Fight Series In Atlanta!,concerts,Buckhead Fight Club,"3293 Buford Highway Northeast, Suite 500 Atlanta, GA United States of America",-84.327139,33.841372,210
4/4/2021,CAVIART,expos,null,null,-84.403396,33.750039,101
4/4/2021,The Escape From Reality Tour II Day PARTY!!,community,Pregame Bar and Grill,"899 Martin Luther King Junior Drive Southwest Atlanta, GA 30314 United States of America",-84.417038,33.754986,102
4/4/2021,"Davis & The Love (Bruno Mars, Justin Timberlake, The Weeknd and much more)",concerts,null,null,-84.268162,33.776318,611
4/4/2021,Mick Wheeler,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
4/4/2021,Jason Fulton,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
4/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
4/4/2021,"The Late Show Headlining Marvin Dixon, Hosted by DeMakco",performing-arts,null,null,-84.401384,33.65517,313
4/4/2021,Lyrical Healing SILENT HEADPHONE OPEN MIC,performing-arts,null,null,-84.401568,33.655047,312
4/4/2021,Anthony David,concerts,Coca-Cola Roxy Theater,"Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.471544,33.887363,201
4/4/2021,Steven Charles,concerts,One Sushi,"6115 Peachtree Dunwoody Road Sandy Springs, GA 30328 United States of America",-84.350922,33.92131,209
4/4/2021,This Life: The Musical,performing-arts,null,null,-84.557306,33.771969,412
4/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
4/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
4/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
4/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
5/4/2021,Soul Express,performing-arts,null,null,-84.345455,33.740745,612
5/4/2021,1st Official  ATLCentric Music Fest,festivals,null,null,-84.410384,33.736486,301
5/4/2021,Golden State Warriors vs Atlanta Hawks,sports,State Farm Arena,"Atlanta, GA 30303 United States of America",-84.396352,33.757162,507
5/4/2021,FREE HIBACHI GRILL ! FREE VIP ENTRY! THIS SUNDAY THE ULTIMATE CELEBRITY DAY PARTY ! PRE GAME!!,community,Eleven 45,"2110 Peachtree st NW Atlanta, GA 30309 United States of America",-84.3926,33.812,207
5/4/2021,Mizuno Big South Tournament,festivals,Georgia World Congress Center,"285 Andrew Young International Boulevard Northwest Atlanta, GA 30313 United States of America",-84.398739,33.759006,507
5/4/2021,Monday Madness - All Pizzas $10,community,vero pizzeria,"1441 Dresden Drive Atlanta, GA 30319 United States of America",-84.330081,33.860736,209
5/4/2021,Shotgun Suge VS Black Aladdin (Money In The Bank),concerts,The Loft On Delowe,2475 Delowe Drive East Point United States of America,-84.45745,33.688,410
5/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
5/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
5/4/2021,Trippin on Sundayz 404 Day Edition,performing-arts,null,null,-84.401384,33.65517,313
5/4/2021,Positive K's Comedy Experience w/Sunshine &  Stevie D from Force MDs Live,performing-arts,null,null,-84.401384,33.65517,313
6/4/2021,Steven Charles,concerts,Cherokee Town & Country club,"155 West Paces Ferry Road Northwest Atlanta, GA 30305 United States of America",-84.388421,33.845256,202
6/4/2021,"FREE Roof for YOUR HOUSE from CRAFT ROOFING, giving back to the community!",expos,null,null,-84.383102,33.787648,502
6/4/2021,LLTS CRAFT ROOFING COMPANY INTERVIEW,festivals,null,null,-84.383102,33.787648,502
6/4/2021,Vokal Dialect Presents: VIP Showcase,performing-arts,null,null,-84.41542,33.737571,301
6/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
6/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
6/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
7/4/2021,The Best Damn Comedy Show Period at Kats Cafe,performing-arts,Kat's Cafe,"970 Piedmont Avenue Northeast Atlanta, GA 30309 United States of America",-84.38094,33.781138,502
7/4/2021,Lil Slugga,community,Hard Rock Cafe Atlanta,"215 Peachtree Street Northeast Atlanta, GA 30303 United States of America",-84.387367,33.759857,508
