,Beat,NEIGHBORHO,Unnamed: 0,X,beat,Crime_Rate,Neighborhood,events,POP,URL,pop,white,black,asian,income,true_crime,events_count,predicted
0,101,"Atlanta University Center, The Villages at Castleberry Hill",1,7,101,87,Atlanta University Center,3,6729,http://documents.atlantaregional.com/AtlantaProfiles/T02.pdf,6729,0.5,94.2,0.2,27430,6,0,13.01946608
1,102,Vine City,2,59,102,436,Vine City,6,2818,http://documents.atlantaregional.com/AtlantaProfiles/L01.pdf,2818,2.2,92.7,0.3,24610,18,1,12.43681074
2,103,"Berkeley Park, Blandtown, Hills Park",3,13,103,181,Blandtown,7,3089,http://documents.atlantaregional.com/AtlantaProfiles/D03.pdf,3089,58.7,23.9,7.3,64278,22,0,13.91870195
3,104,"Ashview Heights, Harris Chiles, Just Us",4,5,104,121,Ashview Heights,1,2072,http://documents.atlantaregional.com/AtlantaProfiles/T01.pdf,2072,1.6,95.5,0,18172,8,0,10.35580154
4,105,"Hunter Hills, Mozley Park",5,38,105,109,Hunter Hills,1,3836,http://documents.atlantaregional.com/AtlantaProfiles/K01.pdf,3836,1.5,96.2,0.2,24607,7,0,10.96114205
5,106,"Bankhead, Washington Park",6,10,106,102,Bankhead,3,2924,http://documents.atlantaregional.com/AtlantaProfiles/K02.pdf,2924,2.7,94.2,0.1,19650,9,0,11.0138778
6,107,Grove Park,7,35,107,180,Grove Park,0,5534,http://documents.atlantaregional.com/AtlantaProfiles/J02.pdf,5534,1.9,95.4,0.1,23902,14,0,12.62798379
7,108,"Dixie Hills, Penelope Neighbors, West Lake",8,26,108,95,Dixie Hills,0,3625,http://documents.atlantaregional.com/AtlantaProfiles/J03.pdf,3625,1.1,96.6,0,23719,7,0,10.84263573
8,109,"Center Hill, Harvel Homes Community",9,23,109,131,Center Hill,0,2730,http://documents.atlantaregional.com/AtlantaProfiles/J01.pdf,2730,1.4,95.8,0.2,27026,10,0,9.791004458
9,110,Grove Park,7,35,107,180,Grove Park,0,5534,http://documents.atlantaregional.com/AtlantaProfiles/J02.pdf,5534,1.9,95.4,0.1,23902,14,0,12.62798379
10,111,"Adamsville, Oakcliff",10,2,111,182,Adamsville,1,2296,http://documents.atlantaregional.com/AtlantaProfiles/H02.pdf,2296,1,89.5,0.2,18306,6,0,10.43264945
11,112,Collier Heights,11,25,112,160,Collier Heights,0,5681,http://documents.atlantaregional.com/AtlantaProfiles/I04.pdf,5681,0.7,96.5,0.1,29048,12,0,11.83689423
12,113,"Almond Park, Carey Park",12,3,113,52,Carey Park,1,3067,http://documents.atlantaregional.com/AtlantaProfiles/G02.pdf,3067,1,96.3,0.1,17468,10,0,11.16564358
13,114,"Bankhead Courts, Bankhead/Bolton, Carroll Heights, Fairburn Heights, Old Gordon",,,,,,,,,,,,,,,0,0
14,201,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",13,40,202,42,West Paces Ferry/Northside,2,4207,http://documents.atlantaregional.com/AtlantaProfiles/A02.pdf,4207,91,2.3,3.3,193437,8,0,5.163396508
15,202,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",13,40,202,42,West Paces Ferry/Northside,2,4207,http://documents.atlantaregional.com/AtlantaProfiles/A02.pdf,4207,91,2.3,3.3,193437,8,0,5.163396508
16,203,"Berkeley Park, Blandtown, Hills Park",3,13,103,181,Blandtown,7,3089,http://documents.atlantaregional.com/AtlantaProfiles/D03.pdf,3089,58.7,23.9,7.3,64278,22,0,13.91870195
17,204,Underwood Hills,14,58,204,219,Underwood Hills,0,2287,http://documents.atlantaregional.com/AtlantaProfiles/D02.pdf,2287,72.3,13.7,5.5,63260,16,0,15.8723816
18,205,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",15,24,205,118,Wildwood (NPU-C),1,3757,http://documents.atlantaregional.com/AtlantaProfiles/C06.pdf,3757,86.7,5.3,4,125221,8,0,10.43104512
19,206,"Buckhead Village, Peachtree Park",16,16,206,212,Buckhead Village,10,2920,http://documents.atlantaregional.com/AtlantaProfiles/B07.pdf,2920,77.4,11.1,3.1,57426,20,0,19.06246563
