,Unnamed: 0,Beat,Crime_Rate,Neighborhood,NEIGHBORHO,pop,white,events
0,0,101,87,Atlanta University Center,"Atlanta University Center, The Villages at Castleberry Hill",6729,0.5,1.0
1,1,102,436,Vine City,Vine City,2818,2.2,0.0
2,2,103,181,Blandtown,"Berkeley Park, Blandtown, Hills Park",3089,58.7,1.0
3,3,104,121,Ashview Heights,"Ashview Heights, Harris Chiles, Just Us",2072,1.6,0.0
4,4,105,109,Hunter Hills,"Hunter Hills, Mozley Park",3836,1.5,0.0
5,5,106,102,Bankhead,"Bankhead, Washington Park",2924,2.7,0.0
6,6,107,180,Grove Park,Grove Park,5534,1.9,0.0
7,7,108,95,Dixie Hills,"Dixie Hills, Penelope Neighbors, West Lake",3625,1.1,0.0
8,8,109,131,Center Hill,"Center Hill, Harvel Homes Community",2730,1.4,0.0
9,9,110,69,Grove Park,Grove Park,5534,1.9,0.0
10,10,111,182,Adamsville,"Adamsville, Oakcliff",2296,1.0,0.0
11,11,112,160,Collier Heights,Collier Heights,5681,0.7,0.0
12,12,113,52,Carey Park,"Almond Park, Carey Park",3067,1.0,0.0
13,13,114,30,Bankhead/Bolton,"Bankhead Courts, Bankhead/Bolton, Carroll Heights, Fairburn Heights, Old Gordon",3298,1.0,0.0
14,14,201,37,Paces,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",4207,91.0,0.0
15,15,202,42,West Paces Ferry/Northside,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",4207,91.0,0.0
16,16,203,47,Blandtown,"Berkeley Park, Blandtown, Hills Park",3089,58.7,0.0
17,17,204,219,Underwood Hills,Underwood Hills,2287,72.3,0.0
18,18,205,118,Wildwood (NPU-C),"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",3757,86.7,0.0
19,19,206,212,Buckhead Village,"Buckhead Village, Peachtree Park",2920,77.4,3.0
20,20,207,136,Loring Heights,"Atlantic Station, Loring Heights",4167,42.3,0.0
21,21,208,327,North Buckhead,North Buckhead,8332,78.9,0.0
22,22,209,151,North Buckhead,North Buckhead,8332,78.9,0.0
23,23,210,445,Lenox,Morningside/Lenox Park,8307,85.2,0.0
24,24,211,589,Lindbergh/Morosgo,Lindbergh/Morosgo,4604,34.4,0.0
25,25,212,204,Lindridge/Martin Manor,Lindridge/Martin Manor,3914,42.2,0.0
26,26,213,44,Morningside/Lenox Park,Morningside/Lenox Park,8307,85.2,0.0
27,27,301,137,Adair Park,"Adair Park, Pittsburgh",4880,4.1,0.0
28,28,302,253,Pittsburgh,"Adair Park, Pittsburgh",4880,4.1,1.0
29,29,303,327,Mechanicsville,Mechanicsville,3786,2.1,0.0
30,30,304,135,Peoplestown,Peoplestown,2658,8.5,0.0
31,31,305,101,The Villages at Carver,"South Atlanta, The Villages at Carver",2808,2.2,1.0
32,32,306,329,Sylvan Hills,Sylvan Hills,4632,10.0,0.0
33,33,307,232,Lakewood Heights,Lakewood Heights,2157,10.5,0.0
34,34,308,139,Thomasville Heights,Thomasville Heights,2851,0.5,0.0
35,35,309,228,Perkerson,Perkerson,2416,8.7,0.0
36,36,310,105,Browns Mill Park,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",3837,3.9,0.0
37,37,311,152,Hammond Park,Hammond Park,2702,5.5,0.0
38,38,312,143,Glenrose Heights,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",5972,1.0,0.0
39,39,313,118,South River Gardens,South River Gardens,2255,1.6,0.0
40,40,401,362,West End,West End,4341,3.9,0.0
41,41,402,135,Oakland City,"Bush Mountain, Oakland City",3672,1.7,0.0
42,42,403,138,Oakland City,"Bush Mountain, Oakland City",3672,1.7,0.0
43,43,404,203,Westview,Westview,3138,3.4,0.0
44,44,405,158,Harland Terrace,"Audobon Forest, Audobon Forest West, Chalet Woods, Harland Terrace, Peyton Forest, Westhaven",4945,1.1,0.0
45,45,406,26,Cascade Avenue/Road,Cascade Avenue/Road,2307,1.4,0.0
46,46,407,90,Fairburn Mays,"Fairburn Mays, Mays",4095,0.7,0.0
47,47,408,112,Venetian Hills,"Fort McPherson, Venetian Hills",4084,7.1,0.0
48,48,409,217,Southwest,"Adams Park, Laurens Valley, Southwest",6141,1.0,0.0
49,49,410,201,Campbellton Road,"Campbellton Road, Fort Valley, Pomona Park",6721,1.9,0.0
50,50,411,330,Greenbriar,Greenbriar,3628,0.6,0.0
51,51,412,47,Kings Forest,"Ben Hill Terrace, Kings Forest, Old Fairburn Village",2719,1.0,0.0
