Beat,NEIGHBORHO,Neighborhood,URL,pop,white,black,asian,income,Crime_Rate,events_count,predicted,landmarks
101,"Atlanta University Center, The Villages at Castleberry Hill",Atlanta University Center,http://documents.atlantaregional.com/AtlantaProfiles/T02.pdf,6729,0.5,94.2,0.2,27430,6,0,13.01946608,"""Morehouse College, Spelmen College"""
102,Vine City,Vine City,http://documents.atlantaregional.com/AtlantaProfiles/L01.pdf,2818,2.2,92.7,0.3,24610,18,1,12.43681074,"""N/A"""
103,"Berkeley Park, Blandtown, Hills Park",Blandtown,http://documents.atlantaregional.com/AtlantaProfiles/D03.pdf,3089,58.7,23.9,7.3,64278,22,0,13.91870195,"""Top Golf"""
104,"Ashview Heights, Harris Chiles, Just Us",Ashview Heights,http://documents.atlantaregional.com/AtlantaProfiles/T01.pdf,2072,1.6,95.5,0,18172,8,0,10.35580154,"""N/A"""
105,"Hunter Hills, Mozley Park",Hunter Hills,http://documents.atlantaregional.com/AtlantaProfiles/K01.pdf,3836,1.5,96.2,0.2,24607,7,0,10.96114205,"""N/A"""
106,"Bankhead, Washington Park",Bankhead,http://documents.atlantaregional.com/AtlantaProfiles/K02.pdf,2924,2.7,94.2,0.1,19650,9,0,11.0138778,"""Westside Reservoir Park"""
107,Grove Park,Grove Park,http://documents.atlantaregional.com/AtlantaProfiles/J02.pdf,5534,1.9,95.4,0.1,23902,14,0,12.62798379,"""N/A"""
108,"Dixie Hills, Penelope Neighbors, West Lake",Dixie Hills,http://documents.atlantaregional.com/AtlantaProfiles/J03.pdf,3625,1.1,96.6,0,23719,7,0,10.84263573,"""Lincoln Cemetery"""
109,"Center Hill, Harvel Homes Community",Center Hill,http://documents.atlantaregional.com/AtlantaProfiles/J01.pdf,2730,1.4,95.8,0.2,27026,10,0,9.791004458,"""N/A"""
110,Grove Park,Grove Park,http://documents.atlantaregional.com/AtlantaProfiles/J02.pdf,5534,1.9,95.4,0.1,23902,14,0,12.62798379,"""N/A"""
111,"Adamsville, Oakcliff",Adamsville,http://documents.atlantaregional.com/AtlantaProfiles/H02.pdf,2296,1,89.5,0.2,18306,6,0,10.43264945,"""N/A"""
112,Collier Heights,Collier Heights,http://documents.atlantaregional.com/AtlantaProfiles/I04.pdf,5681,0.7,96.5,0.1,29048,12,0,11.83689423,"""N/A"""
113,"Almond Park, Carey Park",Carey Park,http://documents.atlantaregional.com/AtlantaProfiles/G02.pdf,3067,1,96.3,0.1,17468,10,0,11.16564358,"""N/A"""
114,"Bankhead Courts, Carroll Heights, Fairburn Heights","Bankhead Courts, Carroll Heights, Fairburn Heights",http://documents.atlantaregional.com/AtlantaProfiles/H01.pdf,3298,1,80.4,0,19362,0,0,0,"""N/A"""
201,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",West Paces Ferry/Northside,http://documents.atlantaregional.com/AtlantaProfiles/A02.pdf,4207,91,2.3,3.3,193437,8,0,5.163396508,"""N/A"""
202,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",West Paces Ferry/Northside,http://documents.atlantaregional.com/AtlantaProfiles/A02.pdf,4207,91,2.3,3.3,193437,8,0,5.163396508,"""White Water Creek, North Fulton Golf Course"""
203,"Berkeley Park, Blandtown, Hills Park",Blandtown,http://documents.atlantaregional.com/AtlantaProfiles/D03.pdf,3089,58.7,23.9,7.3,64278,22,0,13.91870195,"""N/A"""
204,Underwood Hills,Underwood Hills,http://documents.atlantaregional.com/AtlantaProfiles/D02.pdf,2287,72.3,13.7,5.5,63260,16,0,15.8723816,"""Underwood Hills"""
